index,Target,Metal Tag,Atom,Metal Tag Full,full,ilastik,cell_type,Antibody Clone,Final Concentration,full name,function,cellular location,cell type
80ArAr(ArAr80),80ArAr,ArAr80,80,,0,0,0,,,,,,
HistoneH3(In113),HistoneH3,In113,113,,1,0,0,,,,,,
<EMPTY>(In115),,In115,115,,0,0,0,,,,,,
129Xe(Xe129),129Xe,Xe129,129,,0,0,0,,,,,,
AlphaSMA(Pr141),AlphaSMA,Pr141,141,,1,1,1,,,,,,
<EMPTY>(Nd142),,Nd142,142,,0,0,0,,,,,,
Vimentin(Nd143),Vimentin,Nd143,143,,1,1,1,,,,,,
CD206(Nd144),CD206,Nd144,144,,1,0,1,,,,,,
<EMPTY>(Nd145),,Nd145,145,,0,0,0,,,,,,
CD16(Nd146),CD16,Nd146,146,,1,0,1,,,,,,
CD163(Sm147),CD163,Sm147,147,,1,0,1,,,,,,
PanKeratinC11(Nd148),PanKeratinC11,Nd148,148,,1,1,1,,,,,,
CD11b(Sm149),CD11b,Sm149,149,,1,0,1,,,,,,
PD1(Nd150),PD1,Nd150,150,,1,0,1,,,,,,
CD31(Eu151),CD31,Eu151,151,,1,1,1,,,,,,
CD45(Sm152),CD45,Sm152,152,,1,1,1,,,,,,
GATA3(Eu153),GATA3,Eu153,153,,1,0,1,,,,,,
<EMPTY>(Sm154),,Sm154,154,,0,0,0,,,,,,
FoxP3(Gd155),FoxP3,Gd155,155,,1,0,1,,,,,,
CD4(Gd156),CD4,Gd156,156,,1,0,1,,,,,,
Ecadherin(Gd158),Ecadherin,Gd158,158,,1,1,1,,,,,,
CD68(Tb159),CD68,Tb159,159,,1,0,1,,,,,,
<EMPTY>(Gd160),,Gd160,160,,0,0,0,,,,,,
CD20(Dy161),CD20,Dy161,161,,1,0,1,,,,,,
CD8a(Dy162),CD8a,Dy162,162,,1,0,1,,,,,,
KRT5(Dy163),KRT5,Dy163,163,,1,1,1,,,,,,
<EMPTY>(Dy164),,Dy164,164,,0,0,0,,,,,,
<EMPTY>(Ho165),,Ho165,165,,0,0,0,,,,,,
<EMPTY>(Er166),,Er166,166,,0,0,0,,,,,,
GranzymeB(Er167),GranzymeB,Er167,167,,1,0,1,,,,,,
Ki67(Er168),Ki67,Er168,168,,1,0,1,,,,,,
ColTypeI(Tm169),ColTypeI,Tm169,169,,1,1,1,,,,,,
CD3(Er170),CD3,Er170,170,,1,0,1,,,,,,
<EMPTY>(Yb171),,Yb171,171,,0,0,0,,,,,,
<EMPTY>(Yb172),,Yb172,172,,0,0,0,,,,,,
CD45RO(Yb173),CD45RO,Yb173,173,,1,0,1,,,,,,
<EMPTY>(Yb174),,Yb174,174,,0,0,0,,,,,,
PDL1(Lu175),PDL1,Lu175,175,,1,0,1,,,,,,
CD11c(Yb176),CD11c,Yb176,176,,1,0,1,,,,,,
190BCKG(BCKG190),190BCKG,BCKG190,190,,0,0,0,,,,,,
DNA1(Ir191),DNA1,Ir191,191,,1,1,0,,,,,,
DNA2(Ir193),DNA2,Ir193,193,,1,0,0,,,,,,
<EMPTY>(Pb204),,Pb204,204,,0,0,0,,,,,,
